dataset,arch,config,subset,subset_size,seed,epoch,replace,K,train_acc,test_acc,ckpt
emnist,deep,drop,fifteen_1,15,1032,epoch10,none,20,0.938,0.9356666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch10,hidden,20,0.6536388888888889,0.6546666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,none,20,0.9604722222222222,0.954,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch100,hidden,20,0.7269722222222222,0.7173333333333334,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,none,20,0.9648333333333333,0.9595,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch150,hidden,20,0.6831388888888889,0.6748333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,none,20,0.9653888888888889,0.96,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch200,hidden,20,0.6954166666666667,0.6866666666666666,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,none,20,0.9493611111111111,0.9448333333333333,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,deep,drop,fifteen_1,15,1032,epoch25,hidden,20,0.7022222222222222,0.6961666666666667,D:\generating_vector_data\deep_emnist_subsets\emnist_deep_drop_named_fifteen_1\seed1032\epoch25.safetensors
